key	category	source	built-in-simplified	runtime-target
skill.Mount.name	Skills	Mount		坐骑
skill.MountMastery.description	Skills	Call upon your holy gryphon, taking to the battlefield as both rider and radiant blade.	召唤你的神圣狮鹫，以骑手与辉耀之刃的姿态踏上战场。	召唤你的神圣狮鹫，以骑手与辉耀之刃的姿态踏上战场。
skill.MountMastery.name	Skills	Gryphon Riding		狮鹫骑术
skill.Multistrike.description	SkillPassives	Gives auto attacks a chance to strike additional times.	自动攻击有概率额外命中数次。	普通攻击有概率额外攻击数次。
skill.Multistrike.name	SkillPassives	Multistrike		多重打击
skill.NinjutsuMastery.description	SkillPassives	Increases cast range, Magic Attack, maximum MP, and MP recovery.	提高施法范围、魔法攻击、最大 MP 与 MP 恢复速度。	提高施法范围、魔法攻击、最大法力值与法力值恢复速度。
skill.NinjutsuMastery.name	SkillPassives	Ninjutsu Mastery		忍术精通
skill.NPC_Berserk.description	Skills	Drive yourself into a wild rage, increasing offensive power through pure fury.	陷入狂野怒火，以纯粹愤怒提高攻击能力。	陷入狂野怒火，以纯粹愤怒提高攻击能力。
skill.NPC_Berserk.name	Skills	Wild Rage		狂野暴怒
skill.NPC_BleedAttack.description	Skills	Rip into the target with a bleeding strike that leaves lasting wounds.	以造成流血的攻击撕裂目标，留下持续伤口。	以造成流血的攻击撕裂目标，留下持续伤口。
skill.NPC_BleedAttack.name	Skills	Bleed		流血
skill.NPC_Blind.description	Skills	Cloud the target's sight, reducing their ability to fight with accuracy.	遮蔽目标的视野，降低其准确战斗的能力。	遮蔽目标的视野，降低其准确战斗的能力。
skill.NPC_Blind.name	Skills	Blind		致盲
skill.NPC_Burn.description	Skills	Scorch the target with Fire magic and leave them Burning over time.	以火魔法灼烧目标，并使其持续受到灼烧。	以火魔法灼烧目标，并使其持续受到灼烧。
skill.NPC_Burn.name	Skills	Burn		灼烧
skill.NPC_Enrage.description	Skills	The monster flies into a deadly rage, greatly increasing Auto Attack damage, Attack Speed, Cast Speed, and Move Speed.	怪物陷入致命狂怒，大幅提高自动攻击伤害、攻击速度、施法速度与移动速度。	怪物陷入致命狂怒，大幅提高普通攻击伤害、攻击速度、施法速度与移动速度。
skill.NPC_Enrage.name	Skills	Enrage		激怒
skill.NPC_Enrage_2.description	Skills	The monster makes a desperate stand, gaining strong All Resistance and HP siphon for a short time.	怪物进行绝望抵抗，短时间大幅提高所有抗性并获得 HP汲取。	怪物进行绝望抵抗，短时间大幅提高所有抗性并获得生命值汲取。
skill.NPC_Enrage_2.name	Skills	Last Stand		背水一战
skill.NPC_Freeze.description	Skills	Strike the target with freezing magic, applying Frozen.	以冰冻魔法攻击目标并施加冻结。	以冰冻魔法攻击目标并施加冻结。
skill.NPC_Freeze.name	Skills	Freeze		冰冻
skill.NPC_Knockback.description	Skills	Knock the target back with force, briefly stunning them on impact.	以力量击退目标，并在撞击时短暂使其眩晕。	以力量击退目标，并在撞击时短暂使其眩晕。
skill.NPC_Knockback.name	Skills	Knockback		击退
skill.NPC_LightningReflexes.description	Skills	The enemy surges with lightning reflexes, greatly increasing Attack Speed and Flee.	敌人的雷电反射神经爆发，大幅提高攻击速度与闪避。	敌人的雷电反射神经爆发，大幅提高攻击速度与闪避。
skill.NPC_LightningReflexes.name	Skills	Empower Reflexes		身法强化
skill.NPC_ManaLeech.description	Skills	Strike an enemy with draining force, stealing MP through the attack.	以汲取力量攻击敌人，并通过攻击偷取 MP。	以汲取力量攻击敌人，并通过攻击偷取法力值。
skill.NPC_ManaLeech.name	Skills	Mana Drain		法力汲取
skill.NPC_Poison.description	Skills	Fire a toxic shot that applies Poison to the target.	发射毒性射击，对目标施加毒。	发射毒性射击，对目标施加毒。
skill.NPC_Poison.name	Skills	Gunk Shot		污泥射击
skill.NPC_Pull.description	Skills	Drag the target inward with force, briefly stunning them on impact.	以力量将目标拖向中心，并在撞击时短暂使其眩晕。	以力量将目标拖向中心，并在撞击时短暂使其眩晕。
skill.NPC_Pull.name	Skills	Pull		牵引
skill.NPC_ShadowStep.description	Skills	The enemy slips through shadow, appearing behind its target for a sudden strike.	敌人穿梭于暗影中，出现在目标身后发动突袭。	敌人穿梭于暗影中，出现在目标身后发动突袭。
skill.NPC_ShadowStep.name	Skills	Dark Step		幽影步
skill.NPC_Sharpen.description	Skills	The enemy sharpens its focus, greatly increasing critical chance for a short time.	敌人磨砺专注，短时间大幅提高暴击概率。	敌人进入专注状态，短时间大幅提高暴击率。
skill.NPC_Sharpen.name	Skills	Critical Strikes		暴击强化
skill.NPC_Silence.description	Skills	Seal the target's voice, preventing them from casting skills.	封印目标的声音，使其无法施放技能。	封印目标的声音，使其无法施放技能。
skill.NPC_Silence.name	Skills	Silence		沉默
skill.NPC_SpellGuard.description	Skills	The enemy raises a spell shield, reflecting hostile Magic back at its source.	敌人升起法术护盾，将敌对魔法反射回来源。	敌人升起法术护盾，将敌对魔法反射回来源。
skill.NPC_SpellGuard.name	Skills	Reflect Magic		反射魔法
skill.NPC_SpikedShell.description	Skills	The enemy hardens with thorns, reflecting physical damage back at attackers.	敌人硬化尖刺外壳，将物理伤害反射给攻击者。	敌人硬化尖刺外壳，将物理伤害反射给攻击者。
skill.NPC_SpikedShell.name	Skills	Reflect Physical		反射物理
skill.NPC_SteelGuard.description	Skills	The enemy reinforces its guard, greatly increasing block chance for a short time.	敌人强化防御，短时间大幅提高格挡概率。	敌人强化防御，短时间大幅提高格挡率。
skill.NPC_SteelGuard.name	Skills	Reinforce		加固
skill.NPC_Stun.description	Skills	Strike the target with a stunning attack, briefly stopping their actions.	以令人眩晕的攻击命中目标，短暂停止其行动。	以令人眩晕的攻击命中目标，短暂停止其行动。
skill.NPC_Stun.name	Skills	Stun		眩晕
skill.NPC_Venom.description	Skills	The enemy coats its attacks in venom, applying Poison with each strike.	敌人在攻击上涂覆毒液，每次命中都会施加毒。	敌人在攻击上涂覆毒液，每次命中都会施加毒。
skill.NPC_Venom.name	Skills	Venom		毒液
skill.NPC_WideBleed.description	Skills	Strike a wide area with bleeding force, leaving enemies wounded over time.	以带有流血的力量攻击大范围，使敌人持续受伤。	以带有流血的力量攻击大范围，使敌人持续受伤。
skill.NPC_WideBleed.name	Skills	Wide Bleed		群体流血
skill.NPC_WideBlind.description	Skills	Blast a wide area with blinding force, reducing enemies' ability to fight accurately.	以致盲力量轰击大范围，降低敌人的准确战斗能力。	以致盲力量轰击大范围，降低敌人的准确战斗能力。
skill.NPC_WideBlind.name	Skills	Wide Blind		群体致盲
skill.NPC_WideCurse.description	Skills	Curse enemies in a wide area, leaving them vulnerable to shadowed harm.	对大范围内的敌人施加诅咒，使其更易受到暗影伤害。	对大范围内的敌人施加诅咒，使其更易受到暗影伤害。
skill.NPC_WideCurse.name	Skills	Wide Curse		群体诅咒
skill.NPC_WideFreeze.description	Skills	Apply Frozen to enemies in a wide area, locking them in place with icy force.	对大范围内的敌人施加冻结，以冰冷力量将其定在原地。	对大范围内的敌人施加冻结，以冰冷力量将其定在原地。
skill.NPC_WideFreeze.name	Skills	Wide Freeze		群体冰冻
skill.NPC_WidePoison.description	Skills	Apply Poison to enemies in a wide area, wearing them down over time.	对大范围内的敌人施加毒，使其持续衰弱。	对大范围内的敌人施加毒，使其持续衰弱。
skill.NPC_WidePoison.name	Skills	Wide Poison		群体中毒
skill.NPC_WideSilence.description	Skills	Silence enemies in a wide area, preventing them from casting skills.	对大范围内的敌人施加沉默，阻止其施放技能。	对大范围内的敌人施加沉默，阻止其施放技能。
skill.NPC_WideSilence.name	Skills	Wide Silence		群体沉默
skill.NPC_WideStun.description	Skills	Stun enemies in a wide area, stopping their actions for a short time.	对大范围内的敌人施加眩晕，短时间停止其行动。	对大范围内的敌人施加眩晕，短时间停止其行动。
skill.NPC_WideStun.name	Skills	Wide Stun		群体眩晕
skill.Paladin_1.description	SkillPassives	A solemn stance guide for shields that answer pressure with controlled force.	一本庄重的架盾指南，教盾牌以受控的力量回应压力。	一本庄重的架盾指南，教盾牌以受控的力量回应压力。
skill.Paladin_1.name	SkillPassives	Resolute Pose		坚毅架势
skill.Paladin_2.description	SkillPassives	Heavy doctrine turns every charge into protection for those moving beside you.	沉重教义将每一次冲锋化作对并肩前行之人的保护。	沉重教义将每一次冲锋化作对并肩前行之人的保护。
skill.Paladin_2.name	SkillPassives	Crushing Advance		碾压进击
skill.Paladin_3.description	SkillPassives	Warm barrier hymns gather around healing hands, making mercy harder to break.	温暖的屏障圣歌环绕治疗之手，让仁慈更难被击破。	温暖的屏障圣歌环绕治疗之手，让仁慈更难被击破。
skill.Paladin_3.name	SkillPassives	Sacred Bastion		圣洁堡垒
skill.Paladin_4.description	SkillPassives	A retaliatory creed where blocked blows awaken holy power instead of fear.	一则反击信条：被格挡的攻击唤醒的是神圣力量，而非恐惧。	一则反击信条：被格挡的攻击唤醒的是神圣力量，而非恐惧。
skill.Paladin_4.name	SkillPassives	Divine Retribution		神圣惩戒
skill.PanicBurst.description	Skills	Unleash a sudden burst of pistol fire, damaging nearby enemies and finishing prepared combos.	突然倾泻一阵手枪火力，伤害附近敌人并完成已经准备好的 连击。	突然倾泻一阵手枪火力，伤害附近敌人并完成已经准备好的连击。
skill.PanicBurst.name	Skills	Panic Burst		恐慌爆发
skill.PiercingShot.description	Skills	Fire a piercing rifle round that punches through enemies, staggering and knocking them back.	发射一颗贯穿敌人的步枪弹，以沉重而精准的伤害使其踉跄并击退。	发射一颗贯穿敌人的步枪弹，以沉重而精准的伤害使其踉跄并击退。
skill.PiercingShot.name	Skills	Piercing Shot		穿刺射击
skill.PointBlankShot.description	Skills	Fire a brutal close-range shotgun blast, blinding enemies and finishing shotgun combos.	近距离发射残暴的霰弹枪轰击，使敌人视线受阻并完成霰弹枪连击。	近距离发射残暴的霰弹枪轰击，使敌人视线受阻并完成霰弹枪连击。
skill.PointBlankShot.name	Skills	Point Blank		近距射击
skill.PoisonField.description	Skills	Leave a toxic field behind, applying Poison to enemies and making them easier to damage.	留下毒性区域，对敌人施加毒，并使其更容易受到伤害。	留下毒性区域，对敌人施加毒，并使其更容易受到伤害。
skill.PoisonField.name	Skills	Poison Ground		剧毒领域
skill.PoisonGrenade.description	Skills	Hurl a toxic grenade that bursts into Poison, leaving deadly ground behind.	投掷一枚毒性手雷，爆发出毒素并留下致命地面。	投掷一枚毒性手雷，爆发出毒素并留下致命地面。
skill.PoisonGrenade.name	Skills	Poison Grenade		剧毒榴弹
skill.PreciseAim.description	SkillPassives	Increases attack range and Hit Rate.	提高攻击范围与命中。	提高攻击范围与命中。
skill.PreciseAim.name	SkillPassives	Precise Aim		精确瞄准
skill.Priest_1.description	SkillPassives	Pale pages hide rites that turn wrath into shelter against unholy threats.	苍白书页隐藏着仪式，能将怒火化作抵挡邪恶威胁的庇护。	苍白书页隐藏着仪式，能将怒火化作抵挡邪恶威胁的庇护。
skill.Priest_1.name	SkillPassives	Veil of the Exorcist		驱魔帷幕
skill.Priest_2.description	SkillPassives	A blood-warmed vow remembers pain and answers it with sharper judgment.	一则被鲜血温暖的誓言铭记痛苦，并以更加凌厉的审判回应。	一则被鲜血温暖的誓言铭记痛苦，并以更加凌厉的审判回应。
skill.Priest_2.name	SkillPassives	Martyr's Oath		殉道誓约
skill.Priest_3.description	SkillPassives	Sanctified brands burn across the text, marking corruption for holy ruin.	圣化烙印灼烧于文字之间，为神圣毁灭标记腐化。	圣化烙印灼烧于文字之间，为神圣毁灭标记腐化。
skill.Priest_3.name	SkillPassives	Exorcist's Brand		驱魔者烙印
skill.Priest_4.description	SkillPassives	Lunar prayers wrap protection in shadow before releasing hidden sacred force.	月之祷文先以阴影包裹保护，随后释放潜藏的神圣力量。	月之祷文先以阴影包裹保护，随后释放潜藏的神圣力量。
skill.Priest_4.name	SkillPassives	Eclipsing Aegis		蚀光圣盾
skill.Priest_5.description	SkillPassives	Merciful doctrine teaches every excess blessing to harden around the soul.	仁慈教义教导每一份溢出的祝福在灵魂周围凝成坚壳。	仁慈教义教导每一份溢出的祝福在灵魂周围凝成坚壳。
skill.Priest_5.name	SkillPassives	Overflowing Grace		恩典满溢
skill.Priest_6.description	SkillPassives	A sealed covenant promises light for those returned from the final edge.	一份封印契约，为那些从最终边缘归来的人许诺光明。	一份封印契约，为那些从最终边缘归来的人许诺光明。
skill.Priest_6.name	SkillPassives	Resurrection Pact		复苏契约
skill.Priest_7.description	SkillPassives	Clean white pages brighten whenever corruption is lifted or healing takes hold.	每当腐化被祛除，或治疗开始生效时，洁白书页便会亮起。	每当腐化被祛除，或治疗开始生效时，洁白书页便会亮起。
skill.Priest_7.name	SkillPassives	Purity		纯净
skill.Priest_8.description	SkillPassives	Consecrated rules teach sacred ground to endure longer under desperate feet.	圣化律令教导神圣之地在绝望的脚步下维持得更加长久。	圣化律令教导神圣之地在绝望的脚步下维持得更加长久。
skill.Priest_8.name	SkillPassives	Sanctuary Doctrine		圣域教义
skill.RageMastery.description	SkillPassives	Increases the maximum number of Rage stacks you can build.	提高可累积的狂怒最大层数。	提高可累积的狂怒最大层数。
skill.RageMastery.name	SkillPassives	Brutality		残酷
skill.Reanimation.description	Skills	Bind the lingering spirit of a fallen boss, claiming it as an undead champion.	束缚已倒下首领残留的灵魂，将其收为不死冠军。	束缚已倒下首领残留的灵魂，将其收为不死冠军。
skill.Reanimation.name	Skills	Reanimation		亡者奴役
skill.Reap.description	Skills	Carve through nearby enemies with a merciless scythe strike, pulling them in and siphoning HP.	以无情镰刀横扫附近敌人，将其拉近并汲取 HP。	以无情镰刀横扫附近敌人，将其拉近并汲取生命值。
skill.Reap.name	Skills	Reap		收割
skill.ReapSummon.description	Skills	The summon radiates bloodlust, granting nearby allies HP siphon.	召唤物散发嗜血气息，赋予附近盟友 HP汲取。	召唤物散发嗜血气息，赋予附近盟友生命值汲取。
skill.ReapSummon.name	Skills	Reap (Summon)		收割（召唤物）
skill.ReflectShield.description	SkillPassives	Reflects a portion of incoming damage back to attackers.	将受到的部分伤害反射给攻击者。	将受到的部分伤害反射给攻击者。
skill.ReflectShield.name	SkillPassives	Reflect Shield		反射盾
skill.ResistanceMastery.description	SkillPassives	Reduces damage taken from all elements.	减少受到的所有元素伤害。	减少受到的所有元素伤害。
skill.ResistanceMastery.name	SkillPassives	Natural Resistance		元素抗性
skill.Revive.description	Skills	Return a fallen ally to life, restoring a portion of their HP and spirit.	使倒下的盟友重返生命，恢复其部分 HP 与精神。	使倒下的盟友重返生命，恢复其部分生命值与精神。
skill.Revive.name	Skills	Resurrection		复活术
skill.ReviveAll.description	Skills	Call down celestial light, returning all fallen allies to life with renewed strength.	降下天界光芒，使所有倒下的盟友重返生命并恢复力量。	降下天界光芒，使所有倒下的盟友重返生命并恢复力量。
skill.ReviveAll.name	Skills	Salvation		救赎
skill.Rogue_1.description	SkillPassives	A quiet rogue manual where every spinning blade teaches silence first.	一本安静的盗贼手册，其中每一柄旋转刀刃都先教你保持无声。	一本安静的盗贼手册，其中每一柄旋转刀刃都先教你保持无声。
skill.Rogue_1.name	SkillPassives	Silent Circle		寂静之环
skill.Rogue_2.description	SkillPassives	Ink-black routes trail across the pages, vanishing exactly where pursuit begins.	墨黑路线在书页上蜿蜒，却恰好在追踪开始之处消失。	墨黑路线在书页上蜿蜒，却恰好在追踪开始之处消失。
skill.Rogue_2.name	SkillPassives	Shadow Trail		暗影轨迹
skill.Rogue_3.description	SkillPassives	Poisoned diagrams blossom outward, teaching venom to spread after every opening.	染毒图示向外绽放，教导毒素在每一次破绽出现后继续蔓延。	染毒图示向外绽放，教导毒素在每一次破绽出现后继续蔓延。
skill.Rogue_3.name	SkillPassives	Venom Bloom		毒液绽放
skill.Rogue_4.description	SkillPassives	Dark footwork lessons multiply each step until distance becomes unreliable.	黑暗步法让每一步不断倍增，直到距离本身也变得不再可靠。	黑暗步法让每一步不断倍增，直到距离本身也变得不再可靠。
skill.Rogue_4.name	SkillPassives	Shadow Dance		暗影舞步
skill.Rogue_5.description	SkillPassives	Concealed margins reward unseen killers with ruthless openings after every vanish.	隐藏的页边批注奖赏无形杀手，让每次消失之后都显露出无情破绽。	隐藏的页边批注奖赏无形杀手，让每次消失之后都显露出无情破绽。
skill.Rogue_5.name	SkillPassives	Hidden Strikes		暗袭
skill.Sacrament.description	Skills	Focus holy will into clarity, empowering Holy magic while improving Cast Speed and Status Duration.	将神圣意志凝聚成清明状态，强化神圣魔法，并提高施法速度与状态持续时间。	将神圣意志凝聚成清明状态，强化神圣魔法，并提高施法速度与状态持续时间。
skill.Sacrament.name	Skills	Sacrament		圣礼
skill.SacredBlast.description	Skills	Create a holy sanctuary that heals allies over time and knocks enemies away.	创造一处神圣庇护所，持续治疗盟友并将敌人击退。	创造一处神圣庇护所，持续治疗盟友并将敌人击退。
skill.SacredBlast.name	Skills	Sacred Blast		圣光震荡
skill.SacredGround.description	Skills	Hallow the ground beneath your allies, reducing damage taken from Ground Effects.	祝圣盟友脚下的地面，减少其受到的地面效果伤害。	祝圣盟友脚下的地面，减少其受到的地面效果伤害。
skill.SacredGround.name	Skills	Sacred Ground		神圣领域
skill.Sacrifice.description	Skills	Offer your own HP to the divine, adding Holy damage to each of your blows.	将自己的 HP 奉献给神明，使每次攻击附加神圣伤害。	将自己的生命值奉献给神明，使每次攻击附加神圣伤害。
skill.Sacrifice.name	Skills	Sacrifice		牺牲
skill.Sanctuary.description	Skills	Raise a sacred tree that heals allies and repels undead with holy radiance.	升起一棵神圣树木，以圣光治疗盟友并击退不死。	升起一棵神圣树木，以圣光治疗盟友并击退不死。
skill.Sanctuary.name	Skills	Sanctuary		圣域
skill.SanctuaryField.description	Skills	Create a small sanctuary of holy light, healing allies and pushing enemies away.	制造一片小型圣光庇护所，治疗盟友并将敌人推开。	制造一片小型圣光庇护所，治疗盟友并将敌人推开。
skill.SanctuaryField.name	Skills	Litany of Sanctuary		庇护连祷
skill.Scout_1.description	SkillPassives	Mechanical notes teach one shot to leave trouble waiting for the next.	机械笔记教你用一发射击让麻烦乖乖等候下一发。	机械笔记教你用一发射击让麻烦乖乖等候下一发。
skill.Scout_1.name	SkillPassives	Chain Reaction		连锁反应
skill.Scout_2.description	SkillPassives	Marked terrain sketches teach traps to pull prey into worse decisions.	标记清晰的地形草图教陷阱把猎物拖入更糟的选择。	标记清晰的地形图教会陷阱诱使猎物踏入更危险的境地。
skill.Scout_2.name	SkillPassives	Hunting Ground		猎场
skill.Scout_3.description	SkillPassives	Loose, agile pages reward every dodge with rhythm, speed, and renewed motion.	松散灵活的书页让每次闪避都化作节奏、速度与重新涌起的动势。	松散灵活的书页让每次闪避都化作节奏、速度与重新涌起的动势。
skill.Scout_3.name	SkillPassives	Skirmisher's Flow		游击节奏
skill.Scout_4.description	SkillPassives	Tactical notes make each forceful shot stagger enemies before they recover.	战术笔记让每一发强力射击都在敌人恢复前令其踉跄。	战术笔记让每一发强力射击都在敌人恢复前令其踉跄。
skill.Scout_4.name	SkillPassives	Suppressing Shot		压制射击
skill.Scout_5.description	SkillPassives	Sharp diagrams widen the hunter's mark until distance feels less protective.	锐利图示扩展猎人的标记，直到距离也不再让人觉得安全。	锐利图示扩展猎人的标记，直到距离也不再让人觉得安全。
skill.Scout_5.name	SkillPassives	Eagle Eye		雄鹰之眼
skill.ScytheMastery.description	SkillPassives	Increases attack with scythes, axes, and swords, while adding HP siphon.	提升使用镰刀、斧与剑时的攻击力，并附加 HP 汲取。	提升使用镰刀、斧与剑时的攻击力，并附加生命值汲取。
skill.ScytheMastery.name	SkillPassives	Scythe Mastery		镰刀精通
skill.ShadowFeint.description	Skills	Slip backward in a shadowy feint, briefly evading all attacks and leaving a clone behind.	以暗影假动作向后滑步，短暂闪避所有攻击并留下一个分身。	以暗影假动作向后滑步，短暂闪避所有攻击并留下一个分身。
skill.ShadowFeint.name	Skills	Elusive Feint		幻影佯攻
skill.ShadowMastery.description	SkillPassives	Increases Move Speed, Perfect Dodge, and Spell Dodge.	提高移动速度、完美闪避与法术闪避。	提高移动速度、完美闪避与法术闪避。
skill.ShadowMastery.name	SkillPassives	Shadow Mastery		暗影精通
skill.ShadowRelease.description	Skills	Launch a whirling crescent of darkness that carves through the target with shadow force.	释放旋转的黑暗新月，以暗影力量切割目标。	释放旋转的黑暗新月，以暗影力量切割目标。
skill.ShadowRelease.name	Skills	Black Blade		黯影之刃
skill.ShadowSeal.description	Skills	Split your presence through shadow, creating clones to fight alongside you.	通过暗影分裂自身存在，创造与自己并肩战斗的分身。	通过暗影分裂自身存在，创造与自己并肩战斗的分身。
skill.ShadowSeal.name	Skills	Shadow Seal		暗影封印
skill.ShadowStep.description	Skills	Step through shadow to appear behind the target and strike.	穿过暗影出现在目标身后并发动攻击。	穿过暗影出现在目标身后并发动攻击。
skill.ShadowStep.name	Skills	Shadow Step		暗影步
skill.ShadowStrike.description	Skills	Strike the target with Shadow magic, cutting through them with dark force.	以暗影魔法攻击目标，用黑暗力量将其斩穿。	以暗影魔法攻击目标，用黑暗力量将其斩穿。
skill.ShadowStrike.name	Skills	Shadow Strike		暗影打击
skill.ShadowTrail.description	Skills	Leave a cutting shadow in your wake, damaging nearby enemies and slowing their movement.	在身后留下一道切割暗影，伤害附近敌人并降低其移动速度。	在身后留下一道切割暗影，伤害附近敌人并降低其移动速度。
skill.ShadowTrail.name	Skills	Shadow Trail		暗影轨迹
skill.ShieldBash.description	Skills	Charge! Brace that shield and lunge forth, crumbling enemy defenses and opening them for further attacks.	冲锋！架起盾牌向前突进，粉碎敌人防御并为后续攻击创造机会。	冲锋！架起盾牌向前突进，粉碎敌人防御并为后续攻击创造机会。
skill.ShieldBash.name	Skills	Shield Bash		盾击
skill.ShieldMastery.description	SkillPassives	Improves Block Chance and defenses while using a shield.	使用盾牌时，提高格挡率与防御能力。	使用盾牌时，提高格挡率与防御能力。
skill.ShieldMastery.name	SkillPassives	Shield Mastery		盾精通
skill.ShieldThrow.description	Skills	Let the light guide your shield as you hurl it between many foes.	让圣光引导你的盾牌，将其投掷并在多个敌人之间弹跳。	让圣光引导你的盾牌，将其投掷并在多个敌人之间弹跳。
skill.ShieldThrow.name	Skills	Shield Throw		飞盾
skill.Shinobi_1.description	SkillPassives	A black-bound page teaches shadows to finish weakened targets without ceremony.	黑封书页教暗影毫不拖泥带水地终结虚弱目标。	黑封书页教暗影毫不拖泥带水地终结虚弱目标。
skill.Shinobi_1.name	SkillPassives	Silent Execution		无声处决
skill.Shinobi_2.description	SkillPassives	Three elemental seals leave one shadowed mark, binding fate to the target.	三枚元素封印留下一道暗影标记，将命运系于目标。	三枚元素封印留下一道暗影标记，将命运系于目标。
skill.Shinobi_2.name	SkillPassives	Sealed Fate		封印命运
skill.Shinobi_3.description	SkillPassives	Precise strokes reward every vanish and blink with sharper killing discipline.	精准笔划让每次消失与闪现都换来更凌厉的杀戮技法。	精准笔划让每次消失与闪现都换来更凌厉的杀戮技法。
skill.Shinobi_3.name	SkillPassives	Honed Technique		磨砺技法
skill.Shinobi_4.description	SkillPassives	Ghostly pages release perfect timing just as concealment slips away.	幽灵般的书页在隐匿即将消退之际释放完美时机。	幽灵般的书页在隐匿即将消退之际释放完美时机。
skill.Shinobi_4.name	SkillPassives	Phantom Manuscript		幻影手稿
skill.ShockAbsorber.description	Skills	Brace behind your shotgun, absorbing heavy impact and preventing flinching.	以霰弹枪架起防御，吸收沉重冲击并防止被击退动作打断。	以霰弹枪架起防御，吸收沉重冲击并防止被击退动作打断。
skill.ShockAbsorber.name	Skills	Shock Absorber		冲击吸收
skill.ShoutBlood.description	Skills	Unleash a savage howl that fills nearby allies with bloodlust and battle hunger.	发出野蛮嚎叫，使附近盟友充满嗜血欲望与战斗饥渴。	发出野蛮嚎叫，使附近盟友充满嗜血欲望与战斗饥渴。
skill.ShoutBlood.name	Skills	Blood Howl		血嚎
skill.ShoutFury.description	Skills	Let out a furious battle cry, granting nearby allies Fury and sharpening their critical strikes.	发出愤怒战吼，为附近盟友赋予狂怒，并强化其暴击。	发出愤怒战吼，为附近盟友赋予狂怒，并强化其暴击。
skill.ShoutFury.name	Skills	Furious Shout		狂怒战吼
skill.ShoutMight.description	Skills	Let out a mighty roar, empowering nearby allies with increased strength.	发出强力咆哮，以更高力量强化附近盟友。	发出强力咆哮，以更高力量强化附近盟友。
skill.ShoutMight.name	Skills	Mighty Roar		威猛咆哮
skill.ShoutMightLong.description	Skills	Release an extended War Cry, granting Might to nearby allies for a longer duration.	释放持续更久的 War Cry，为附近盟友提供更长时间的威能。	释放持续更久的战吼，为附近盟友提供更长时间的威能。
skill.ShoutMightLong.name	Skills	War Cry		战吼
skill.ShoutStun.description	Skills	Terrify nearby enemies with a savage cry, stunning them while fueling your Rage.	以野蛮怒吼震慑附近敌人，使其眩晕，同时积累怒气。	以野蛮怒吼震慑附近敌人，使其眩晕，同时积累怒气。
skill.ShoutStun.name	Skills	Fearsome Cry		威慑战吼
skill.ShrapnelShot.description	Skills	Blast enemies with close-range shrapnel, slowing and bleeding those caught in the burst.	以近距离破片轰击敌人，使爆发范围内的目标减速并流血。	以近距离破片轰击敌人，使爆发范围内的目标减速并流血。
skill.ShrapnelShot.name	Skills	Shrapnel		弹片
skill.ShurikenFan.description	Skills	Hurl a spinning shuriken that lingers in place, slicing nearby enemies again and again.	掷出一枚会停留原地旋转的手里剑，反复切割附近敌人。	掷出一枚会停留原地旋转的手里剑，反复切割附近敌人。
skill.ShurikenFan.name	Skills	Shuriken Fan		手里剑散射
skill.SilentEdge.description	Skills	Enter a precise killing stance, increasing critical chance and Critical Damage.	进入精准杀戮姿态，提高暴击概率与暴击伤害。	进入精准杀戮姿态，提高暴击率与暴击伤害。
skill.SilentEdge.name	Skills	Silent Edge		无声锋刃
skill.SkeletonMastery.description	SkillPassives	Strengthens summons by increasing their Attack, Magic Attack, and resistance.	提高召唤物的攻击力、魔法攻击与抗性，使其更加强大。	提高召唤物的攻击力、魔法攻击与抗性，使其更加强大。
skill.SkeletonMastery.name	SkillPassives	Skeleton Mastery		骷髅精通
skill.SlowTrap.description	Skills	Spread a shadowy trap across the ground, slowing enemies and leaving them vulnerable.	在地面铺开一道暗影陷阱，减速敌人并使其更容易受到伤害。	在地面铺开一道暗影陷阱，减速敌人并使其更容易受到伤害。
skill.SlowTrap.name	Skills	Slow Trap		慢速陷阱
skill.Smite.description	Skills	Strike the target with holy force, dealing blessed damage with a chance to stun.	以神圣力量攻击目标，造成受祝福的伤害，并有概率使其眩晕。	以神圣力量攻击目标，造成受祝福的伤害，并有概率使其眩晕。
skill.Smite.name	Skills	Smite		惩击
skill.SmokeScreen.description	Skills	Create a blinding smoke screen, blinding enemies while cloaking yourself.	制造致盲烟幕，使敌人视线受阻，同时隐藏自己。	制造致盲烟幕，使敌人视线受阻，同时隐藏自己。
skill.SmokeScreen.name	Skills	Smoke Screen		烟幕
skill.SmokeScreenAlly.description	Skills	Cover allies in smoke, cloaking them from sight for a short time.	以烟雾笼罩盟友，使其短时间隐藏于视线之外。	以烟雾笼罩盟友，使其短时间隐藏于视线之外。
skill.SmokeScreenAlly.name	Skills	Smoke Screen (Ally)		烟幕（盟友）
skill.SniperNest.description	Skills	Take a steady sniper stance, increasing Ranged damage and Critical Damage while greatly reducing movement.	进入稳定的狙击姿态，提高远程伤害与暴击伤害，但大幅降低移动能力。	进入稳定的狙击姿态，提高远程伤害与暴击伤害，但大幅降低移动能力。
skill.SniperNest.name	Skills	Sniper's Nest		狙击阵地
skill.SniperShot.description	Skills	Line up a devastating rifle shot, striking with heavy precision damage.	瞄准并发射毁灭性的步枪弹，造成沉重而精准的伤害。	瞄准并发射毁灭性的步枪弹，造成沉重而精准的伤害。
skill.SniperShot.name	Skills	Sniper Shot		狙击射击
